timestamp,open,high,low,close,volume
2017-08-17 04:00:00,4261.48,4280.56,4261.48,4261.48,2.1890609999999997
2017-08-17 04:15:00,4261.48,4270.41,4261.32,4261.45,9.119865
2017-08-17 04:30:00,4280.0,4310.07,4267.99,4310.07,21.923552
2017-08-17 04:45:00,4310.07,4313.62,4291.37,4308.83,13.948531000000001
2017-08-17 05:00:00,4308.83,4328.69,4304.31,4304.31,5.101153
2017-08-17 05:15:00,4320.0,4320.0,4312.14,4320.0,15.947495
2017-08-17 05:30:00,4320.0,4320.0,4291.37,4291.37,2.155453
2017-08-17 05:45:00,4297.04,4315.32,4297.04,4315.32,0.030815000000000002
2017-08-17 06:00:00,4315.32,4330.29,4315.32,4330.0,0.06536399999999999
2017-08-17 06:15:00,4330.0,4330.29,4309.37,4311.02,3.500913
2017-08-17 06:30:00,4311.02,4345.45,4311.02,4345.45,3.494176
2017-08-17 06:45:00,4345.45,4345.45,4324.35,4324.35,0.169238
2017-08-17 07:00:00,4324.35,4324.35,4316.62,4316.62,0.001541
2017-08-17 07:15:00,4316.62,4316.62,4291.38,4291.38,0.038918
2017-08-17 07:30:00,4291.38,4300.0,4291.38,4300.0,0.718901
2017-08-17 07:45:00,4287.41,4349.99,4287.41,4349.99,3.683889
2017-08-17 08:00:00,4333.32,4377.85,4333.32,4360.71,0.766417
2017-08-17 08:15:00,4360.71,4360.71,4360.7,4360.7,0.075843
2017-08-17 08:30:00,4360.7,4360.7,4360.0,4360.69,0.09926199999999999
2017-08-17 08:45:00,4360.69,4360.7,4360.69,4360.69,0.031285
2017-08-17 09:00:00,4360.69,4360.69,4360.0,4360.0,0.006296
2017-08-17 09:15:00,4360.0,4360.0,4360.0,4360.0,2.288705
2017-08-17 09:30:00,4360.0,4445.78,4360.0,4436.51,8.4108
2017-08-17 09:45:00,4436.51,4444.0,4436.51,4444.0,0.057822
2017-08-17 10:00:00,4441.1,4441.1,4399.81,4400.0,4.65968
2017-08-17 10:15:00,4400.0,4443.0,4400.0,4440.0,0.6146510000000001
2017-08-17 10:30:00,4440.0,4440.0,4400.0,4415.0,2.078235
2017-08-17 10:45:00,4415.0,4470.0,4415.0,4460.0,17.512833
2017-08-17 11:00:00,4460.0,4474.8,4454.72,4474.8,16.084544
