symbol,strategy,entry_time,exit_time,entry_price,exit_price,direction,leverage,pnl,pnl_pct,reason
ETHUSDT,B,2024-12-08 10:00:00,2024-12-08 22:00:00,3962.74,4010.34,-1,1.6519626124926265,-196.07669263616015,-0.019607669263616016,TRAIL
ETHUSDT,B,2024-12-08 22:00:00,2024-12-09 03:00:00,4010.34,3929.37,1,1.6245122793289934,-327.994033566403,-0.0327994033566403,SL
ETHUSDT,B,2024-12-09 03:00:00,2024-12-09 15:00:00,3929.37,3824.0,-1,1.701727529333296,468.90959666801507,0.046890959666801506,TRAIL
ETHUSDT,B,2024-12-09 15:00:00,2024-12-10 03:00:00,3824.0,3682.4,-1,1.8394409422620976,707.3235863141251,0.07073235863141251,TRAIL
ETHUSDT,B,2024-12-10 03:00:00,2024-12-10 20:00:00,3682.4,3646.7,-1,2.0,195.79345709820117,0.019579345709820117,TRAIL
ETHUSDT,B,2024-12-10 20:00:00,2024-12-11 08:00:00,3646.7,3696.5,-1,1.5472221244562636,-208.44491220863574,-0.020844491220863574,TRAIL
ETHUSDT,B,2024-12-11 13:00:00,2024-12-12 02:00:00,3743.78,3880.39,1,1.3433769994176326,490.1963573993183,0.04901963573993183,TRAIL
ETHUSDT,B,2024-12-12 02:00:00,2024-12-12 16:00:00,3880.39,3934.24,1,1.7491540344961831,242.73834526328497,0.024273834526328496,WEAK_SIGNAL
ETHUSDT,B,2024-12-12 19:00:00,2024-12-13 08:00:00,3871.14,3898.31,-1,1.2724499363099635,-88.68577606588948,-0.008868577606588948,WEAK_SIGNAL
ETHUSDT,B,2024-12-13 14:00:00,2024-12-14 02:00:00,3951.0,3912.61,1,1.277069094883093,-124.08676930539585,-0.012408676930539585,WEAK_SIGNAL
ETHUSDT,B,2024-12-14 12:00:00,2024-12-15 00:00:00,3868.84,3864.21,-1,1.3748320558553553,16.47289463722281,0.0016472894637222812,WEAK_SIGNAL
ETHUSDT,B,2024-12-15 14:00:00,2024-12-16 03:00:00,3907.08,3942.6,1,1.3835839533610013,125.78422254825135,0.012578422254825136,TRAIL
ETHUSDT,B,2024-12-16 03:00:00,2024-12-16 15:00:00,3942.6,3941.21,1,1.3335492009468974,-4.701550726211548,-0.0004701550726211548,REVERSE
ETHUSDT,B,2024-12-16 15:00:00,2024-12-16 18:00:00,3941.21,4086.66,-1,1.2799777963166958,-455.56217173501864,-0.04555621717350186,SL
ETHUSDT,B,2024-12-16 18:00:00,2024-12-17 00:00:00,4086.66,3959.01,1,1.8925833364892957,-591.1631085112477,-0.05911631085112477,SL
ETHUSDT,B,2024-12-17 01:00:00,2024-12-17 13:00:00,3987.23,4007.6,1,1.2786253397504654,65.32253762817065,0.006532253762817065,WEAK_SIGNAL
ETHUSDT,B,2024-12-17 14:00:00,2024-12-17 22:00:00,4020.01,3883.33,1,1.5020921298172634,-510.7100537148508,-0.05107100537148508,SL
ETHUSDT,B,2024-12-17 22:00:00,2024-12-18 12:00:00,3883.33,3861.22,-1,1.8386666559064346,105.28516832009409,0.01052851683200941,TRAIL
ETHUSDT,B,2024-12-18 12:00:00,2024-12-19 03:00:00,3861.22,3668.9,-1,1.351985833873392,708.6971996253106,0.07086971996253107,TRAIL
ETHUSDT,B,2024-12-19 03:00:00,2024-12-19 17:00:00,3668.9,3479.84,-1,1.9722083781956117,1071.5024713252956,0.10715024713252955,TRAIL
ETHUSDT,B,2024-12-19 17:00:00,2024-12-20 13:00:00,3479.84,3296.63,-1,2.0,1111.4987123213728,0.11114987123213727,TRAIL
ETHUSDT,B,2024-12-20 13:00:00,2024-12-21 01:00:00,3296.63,3473.03,-1,1.8793123718281497,-954.5287613135673,-0.09545287613135674,TRAIL
ETHUSDT,B,2024-12-21 01:00:00,2024-12-21 13:00:00,3473.03,3390.56,1,1.9981084125494069,-474.4675421258971,-0.04744675421258971,SL
ETHUSDT,B,2024-12-21 13:00:00,2024-12-22 08:00:00,3390.56,3357.39,-1,1.4691029822477617,145.14294115714367,0.014514294115714366,WEAK_SIGNAL
ETHUSDT,B,2024-12-22 14:00:00,2024-12-23 03:00:00,3277.94,3351.0,-1,1.4979535791986853,-326.5905356498236,-0.03265905356498236,TRAIL
ETHUSDT,B,2024-12-23 06:00:00,2024-12-23 18:00:00,3277.47,3305.0,-1,1.252886183612738,-104.36295502226537,-0.010436295502226536,WEAK_SIGNAL
ETHUSDT,B,2024-12-23 20:00:00,2024-12-24 10:00:00,3403.59,3393.19,1,1.5043239694869013,-45.96608076373409,-0.004596608076373409,WEAK_SIGNAL
ETHUSDT,B,2024-12-24 13:00:00,2024-12-25 02:00:00,3452.96,3485.31,1,1.4364297863432678,134.57585256766578,0.013457585256766578,TRAIL
