symbol,strategy,entry_time,exit_time,entry_price,exit_price,direction,leverage,pnl,pnl_pct,reason
BTCUSDT,A,2024-12-31 19:00:00,2025-01-01 19:00:00,94166.88,94627.07,-1,1.7866465331551171,-86.8881249406392,-0.00868881249406392,TRAIL
BTCUSDT,A,2025-01-04 20:00:00,2025-01-05 14:00:00,98599.02,97855.06,1,1.680419860285982,-126.79285851506067,-0.012679285851506067,SL
BTCUSDT,A,2025-01-06 02:00:00,2025-01-07 02:00:00,98815.39,101677.66,1,1.6736209769668804,484.77824291772816,0.04847782429177282,WEAK_SIGNAL
BTCUSDT,A,2025-01-09 13:00:00,2025-01-10 13:00:00,91986.42,93557.23,-1,1.8125776474817241,-304.3287081544377,-0.030432870815443772,TRAIL
BTCUSDT,A,2025-01-10 15:00:00,2025-01-11 15:00:00,93730.92,94410.26,-1,2.043079536943079,-147.01216293937827,-0.014701216293937827,TRAIL
BTCUSDT,A,2025-03-25 20:00:00,2025-03-26 20:00:00,87849.98,87280.0,1,2.020985689001007,-131.1236978103783,-0.01311236978103783,TRAIL
BTCUSDT,A,2025-03-27 21:00:00,2025-03-28 07:00:00,87568.68,85212.99,1,1.6314700397798112,-438.88267563344345,-0.043888267563344345,SL
BTCUSDT,A,2025-03-29 17:00:00,2025-03-30 17:00:00,82332.63,82415.53,-1,1.6404923294553466,-16.501357706713243,-0.0016501357706713243,WEAK_SIGNAL
BTCUSDT,A,2025-03-30 22:00:00,2025-03-31 22:00:00,82438.0,82409.99,-1,1.9998571879309335,6.7972341501225,0.00067972341501225,WEAK_SIGNAL
BTCUSDT,A,2025-05-08 08:00:00,2025-05-09 08:00:00,99666.66,102968.25,1,1.715906215948123,568.4166403802601,0.05684166403802601,WEAK_SIGNAL
BTCUSDT,A,2025-05-10 06:00:00,2025-05-11 06:00:00,103930.71,103864.52,1,3.0,-19.10599860234008,-0.001910599860234008,WEAK_SIGNAL
BTCUSDT,A,2025-05-12 07:00:00,2025-05-12 18:00:00,104467.99,101630.59,1,2.91258356514479,-791.0714667470736,-0.07910714667470736,SL
BTCUSDT,A,2025-05-13 09:00:00,2025-05-14 09:00:00,103457.03,103485.73,1,2.187503775050603,6.068351115817672,0.0006068351115817672,TRAIL
BTCUSDT,A,2025-06-22 13:00:00,2025-06-23 13:00:00,100865.66,102354.14,-1,1.7677403523510749,-257.0727632187144,-0.025707276321871437,TRAIL
BTCUSDT,A,2025-06-23 16:00:00,2025-06-23 21:00:00,100692.1,103705.52,-1,2.0790831338798985,-604.1289506379565,-0.06041289506379565,SL
BTCUSDT,A,2025-08-01 22:00:00,2025-08-02 22:00:00,113141.05,112862.14,-1,1.6279774174704431,40.231310650914274,0.004023131065091427,WEAK_SIGNAL
BTCUSDT,A,2025-09-11 22:00:00,2025-09-12 22:00:00,115084.0,116027.46,1,1.6580757585971093,135.9292477847517,0.01359292477847517,WEAK_SIGNAL
BTCUSDT,A,2025-09-14 02:00:00,2025-09-15 02:00:00,115852.95,115362.35,1,1.9019603623413395,-80.54190711282271,-0.008054190711282272,TRAIL
BTCUSDT,A,2025-09-15 05:00:00,2025-09-15 08:00:00,116520.0,114737.27,1,1.6833065297665106,-257.54214296349494,-0.025754214296349495,SL
BTCUSDT,A,2025-10-19 11:00:00,2025-10-20 05:00:00,107783.47,111033.79,-1,2.9131411352423493,-852.7711154145874,-0.08527711154145874,SL
BTCUSDT,A,2025-10-27 05:00:00,2025-10-28 05:00:00,115556.57,113605.31,1,1.8179192744631731,-306.9694058493618,-0.030696940584936182,TRAIL
BTCUSDT,A,2025-10-28 13:00:00,2025-10-28 20:00:00,115522.9,112808.05,1,1.9628965410179742,-461.29119632407344,-0.046129119632407345,SL
