symbol,strategy,entry_time,exit_time,entry_price,exit_price,direction,leverage,pnl,pnl_pct,reason
ETHUSDT,B,2024-12-10 23:00:00,2024-12-11 03:00:00,3628.25,3665.23,-1,10.0,-1008.9407758858249,-0.10089407758858249,TRAIL
ETHUSDT,B,2024-12-11 03:00:00,2024-12-11 10:00:00,3665.23,3707.81,-1,9.109147113193641,-1046.08241544142,-0.10460824154414199,TRAIL
ETHUSDT,B,2024-12-11 10:00:00,2024-12-11 13:00:00,3707.81,3743.78,-1,8.340945936489419,-801.3927777153722,-0.08013927777153722,TRAIL
ETHUSDT,B,2024-12-11 13:00:00,2024-12-11 16:00:00,3743.78,3797.5,-1,6.288803051766195,-889.623436315677,-0.0889623436315677,TRAIL
ETHUSDT,B,2024-12-15 23:00:00,2024-12-16 02:00:00,3959.09,3971.21,1,5.253401874456662,160.82289293351684,0.016082289293351683,TRAIL
ETHUSDT,B,2024-12-16 02:00:00,2024-12-16 05:00:00,3971.21,3966.86,1,4.999959306074826,-54.76875557179272,-0.0054768755571792714,TRAIL
ETHUSDT,B,2024-12-16 05:00:00,2024-12-16 09:00:00,3966.86,3942.28,1,4.7699439393601235,-295.561784457913,-0.029556178445791302,WEAK_SIGNAL
ETHUSDT,B,2024-12-16 10:00:00,2024-12-16 13:00:00,3950.81,3898.75,1,5.01196820556828,-660.4292911627857,-0.06604292911627857,TRAIL
ETHUSDT,B,2024-12-16 17:00:00,2024-12-16 20:00:00,4033.7,4043.39,1,5.73594745071982,137.792425806271,0.0137792425806271,TRAIL
ETHUSDT,B,2024-12-16 20:00:00,2024-12-16 23:00:00,4043.39,3986.24,1,6.148163712110639,-868.9924942860401,-0.08689924942860401,TRAIL
ETHUSDT,B,2024-12-17 02:00:00,2024-12-17 07:00:00,4009.72,3994.24,1,5.297021970456485,-204.4978205527258,-0.02044978205527258,WEAK_SIGNAL
ETHUSDT,B,2024-12-17 09:00:00,2024-12-17 14:00:00,4027.0,4020.01,1,5.040594083803525,-87.4937984747606,-0.00874937984747606,TRAIL
ETHUSDT,B,2024-12-17 14:00:00,2024-12-17 15:00:00,4020.01,3939.18,1,6.370529245286923,-1280.9169103970971,-0.12809169103970972,SL
ETHUSDT,B,2024-12-18 04:00:00,2024-12-18 09:00:00,3841.12,3869.81,-1,4.84291914328659,-359.04437225831094,-0.035904437225831094,TRAIL
ETHUSDT,B,2024-12-18 09:00:00,2024-12-18 12:00:00,3869.81,3861.22,-1,4.89607590879277,108.92228895668327,0.010892228895668328,WEAK_SIGNAL
ETHUSDT,B,2024-12-18 13:00:00,2024-12-18 16:00:00,3855.71,3872.13,-1,4.819783117098211,-204.38580001899194,-0.020438580001899194,TRAIL
ETHUSDT,B,2024-12-18 19:00:00,2024-12-19 02:00:00,3770.29,3648.87,-1,6.0915855128995835,2027.0393655467742,0.20270393655467742,TRAIL
